,Phase,Ascii file,Tel
0,-5.739999999997963,103456.SN2007au.ascii,FLWO-1.5m / FAST
1,-4.80000000000291,103457.SN2007au.ascii,FLWO-1.5m / FAST
2,-3.860000000000582,103458.SN2007au.ascii,FLWO-1.5m / FAST
