,Phase,Ascii file,Tel
0,-5.739999999997963,103456.SN2007au.ascii,FLWO-1.5m / FAST
1,-4.8000000000029095,103457.SN2007au.ascii,FLWO-1.5m / FAST
2,-3.8600000000005816,103458.SN2007au.ascii,FLWO-1.5m / FAST
