,val_loss,loss
0,-0.2117907832823342,0.37514480974926945
1,-0.22214482254266135,-0.19587800703967018
2,-0.2343610602193183,-0.22062886621730235
3,-0.2494297890915125,-0.2357547274576511
4,-0.26606839667425,-0.2531474878962557
5,-0.28163581971965185,-0.2690194957849709
6,-0.29056692435640963,-0.2819767810718402
7,-0.30392889173767024,-0.29215939151970355
8,-0.3093532583157972,-0.30015667225211107
9,-0.31495357267927415,-0.3065646384270258
10,-0.3193054947261845,-0.312088702624199
11,-0.32322818353075655,-0.3168647412330962
12,-0.32600515778921674,-0.3210507164671383
13,-0.32842382188906133,-0.32484397633780404
14,-0.32949955177806695,-0.3279700820397931
15,-0.3317862220714094,-0.3309404380198489
16,-0.33278526445014833,-0.3338226042668122
17,-0.33586037351792514,-0.3364367444122091
18,-0.33611387416511096,-0.33869818754051145
19,-0.3377509066346546,-0.34103792851617704
20,-0.33676678062363646,-0.3433509811741459
21,-0.33889412302150723,-0.34526094911317823
22,-0.3371638991427592,-0.3473458278038055
23,-0.34014559017192814,-0.349144353904565
24,-0.3400175717399605,-0.35097823870001316
25,-0.3402228893812093,-0.3527757797032539
26,-0.3413657678208427,-0.35457388000359874
27,-0.3410654657520568,-0.35633457037503447
28,-0.34142811600167766,-0.3579791526733697
29,-0.341117240503969,-0.35973430525657724
30,-0.33849008150455345,-0.36133959585522724
31,-0.34187595298865026,-0.36271391379903917
32,-0.3419095296314063,-0.364477922525008
33,-0.34085299156652515,-0.36609127996940916
34,-0.33951004969066334,-0.3674553582851339
35,-0.34125191909279273,-0.369086859041899
36,-0.33987059675958226,-0.37052342101031044
37,-0.3398207490300902,-0.37183372451326724
38,-0.33774657164908983,-0.3733792028329032
39,-0.3411342157915169,-0.37470346089147943
40,-0.3405948449067742,-0.37604121698143655
41,-0.33880024885571336,-0.3773628404629996
42,-0.33726011612243484,-0.3787452718509697
