,val_loss,loss
0,-0.4194346227913223,-0.442252677393809
1,-0.41970262518133294,-0.4426238461553543
2,-0.41960994474848873,-0.4428675016771898
3,-0.4195749256403908,-0.44303034804748515
4,-0.4198396823907431,-0.4429652043876467
5,-0.41994611191195114,-0.44319325297920303
6,-0.41987423851636596,-0.4433198580791506
7,-0.4199482987559997,-0.4432416738515512
8,-0.41978454572688373,-0.44326862393620026
9,-0.4198877676727858,-0.44322276022785945
10,-0.41998942427966773,-0.4434353632268631
11,-0.4200374769253196,-0.4434477505504385
12,-0.41991447546008326,-0.4435589341090234
13,-0.41983200290250855,-0.4435073228573869
14,-0.41990360664986476,-0.4434556404782103
15,-0.41994178861949183,-0.44334498575147613
16,-0.4198901776671272,-0.4434784719818951
17,-0.42007345634343407,-0.4435872686802715
18,-0.42007303559749926,-0.4436227586380399
19,-0.4199667219642997,-0.44372541094779705
20,-0.4200664484676556,-0.44360241485703267
21,-0.42009546396893177,-0.4436692207130868
22,-0.41998168745816045,-0.44356064109433974
23,-0.4201129244448758,-0.4436772606282994
24,-0.4200179209817315,-0.4436630555734908
25,-0.4200663874356834,-0.44365875718900966
26,-0.420186463833514,-0.4438374972450449
27,-0.4199864804717272,-0.44379963623494545
28,-0.4200453946811659,-0.4437071733362556
29,-0.42009819179752744,-0.4437443583747783
30,-0.4200164881851606,-0.443759633137451
31,-0.4200688135903908,-0.4438286359460011
32,-0.42006331456440427,-0.44378260186027885
33,-0.420039018164465,-0.443957791269124
34,-0.41996457831749245,-0.4439315507530349
35,-0.4199987205524695,-0.44395700896314705
36,-0.41998127450076717,-0.44384836078674894
