,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope
57,57,SN2006bz,0.027906,2.09,0.16,Ia-91bg,0.0086,0.0,0.0086,1.9,1.1
58,58,SN2009Y,0.009353,1.21,0.0,Ia-norm,0.1016,0.0,0.1016,1.5,0.3
59,59,SN1994Q,0.029564,1.03,0.1,Ia-norm,0.0145,0.0,0.0,1.9,0.5
60,60,SN2006fw,0.0835,1.2877443718344692,0.07400000000000001,Ia-norm,0.027999999999999997,0.0,0.027999999999999997,0.8,0.1
61,61,SN1996bv,0.016672,0.92,0.08,Ia-norm,0.0895,0.0,0.0895,,
62,62,SN2003D,0.022109,1.7723828425111334,0.07,Ia-norm,0.05,0.0,0.05,1.0,1.1
63,63,SN2002bz,0.037152,1.3105688784694012,0.066,Ia-norm,0.0167,0.0,0.0,1.5,1.0
64,64,SN2006cs,0.023676,1.9352579802039336,0.07400000000000001,Ia-91bg,0.01,0.0,0.01,1.7,1.1
65,65,SN1999ac,0.0095,1.23,0.03,Ia-norm,0.0385,0.18600000000000005,0.0,1.2,0.8
66,66,SN2006et,0.022639,1.02,0.05,Ia-norm,0.0165,0.16,0.0,1.6,0.6
67,67,SN2002cu,0.023323,1.35,0.03,Ia-norm,0.0535,0.0,0.0535,0.6,1.3
68,68,SN2002hd,0.030835,1.16,0.11,Ia-norm,0.0321,0.0,0.0321,1.2,1.0
69,69,SN2002hu,0.03,1.05,0.03,Ia-99aa-like,0.0382,0.0,0.0382,1.8,0.5
70,70,SN2011fe,0.0008039999999999999,1.1079999999999999,0.0,Ia-norm,0.0077,0.0,0.008,1.0,1.1
71,71,SN2004fu,0.00921,1.08,0.07,Ia-norm,0.3345,0.0,0.3345,1.9,0.7
72,72,SN2013dy,0.00389,0.92,0.01,Ia-norm,0.132,0.21,0.135,1.3,0.9
73,73,SN2007R,0.03088,1.2764134614413292,0.07,Ia-norm,0.0377,0.0,0.0377,,
74,74,SN2006cz,0.0418,1.034271807852297,0.07400000000000001,Ia-99aa-like,0.0702,0.0,0.0702,1.9,1.1
75,75,SN2009F,0.012956,1.867255155620887,0.07400000000000001,Ia-91bg,0.0895,0.0,0.0895,1.1,0.5
76,76,SN2007ca,0.014066,0.89,0.04,Ia-norm,0.0571,0.0,0.0571,1.1,1.1
77,77,SN2006en,0.031938999999999995,1.0937407644478276,0.07,Ia-norm,0.0553,0.2,0.0,1.6,0.9
78,78,SN2002cf,0.015501,1.78,0.11,Ia-91bg,0.0304,0.0,0.0304,1.1,1.7
79,79,SN2002hw,0.017535,1.44,0.08,Ia-norm,0.0932,0.0,0.0932,1.9,1.9
80,80,SN2006te,0.031592,1.04,0.07,Ia-norm,0.0385,0.0,0.0,1.8,0.6
81,81,SN2006cf,0.041552,1.0835749597681557,0.07,Ia-norm,0.013000000000000001,0.0,0.013000000000000001,1.1,1.1
82,82,SN2006bt,0.032156,1.0,0.06,Ia-norm,0.0424,0.301,0.0,1.7,0.5
83,83,SN2007cg,0.033195999999999996,1.05,0.1,Ia-norm,0.0686,0.0,0.0686,0.9,1.2
84,84,SN2004fz,0.017312,1.36,0.05,Ia-norm,0.0527,0.0,0.0527,1.7,1.7
85,85,SN1996X,0.006945000000000001,1.26,0.04,Ia-norm,0.0596,0.0,0.0596,1.2,1.1
86,86,SN2000cf,0.036425,1.16,0.05,Ia-norm,0.0284,0.2,0.0,,
87,87,SN1992G,0.0052899999999999996,1.0946328941882242,0.07400000000000001,Ia-norm,0.0168,0.0,0.0168,,
88,88,SN2006ke,0.017182,1.2514211512679492,0.07400000000000001,Ia-91bg,0.1588,0.0,0.1588,1.6,1.1
89,89,SN2006eu,0.023586000000000003,1.27,0.06,Ia-norm,0.1671,0.0,0.1671,1.1,1.1
90,90,SN1992A,0.006261,1.47,0.05,Ia-norm,0.0144,0.027000000000000003,0.0,1.3,1.1
91,91,SN2007as,0.017572,1.1139653820626978,0.07400000000000001,Ia-norm,0.1229,0.0,0.1229,1.9,0.5
92,92,SN2005M,0.022000000000000002,0.87,0.06,Ia-91T,0.0273,0.0,0.0273,1.1,1.1
93,93,SN2006sr,0.02414,1.24,0.06,Ia-norm,0.0804,0.2,0.0,1.1,1.1
94,94,SN1996bl,0.036000000000000004,1.07,0.06,Ia-norm,0.0851,0.08,0.0,,
95,95,SN2003cq,0.033283,1.2,0.06,Ia-norm,0.0171,0.1,0.0,1.3,0.9
