,val_loss,loss
0,-0.24023202034547642,-0.254443560009403
1,-0.24032026083615418,-0.25486424534644375
2,-0.24041572079704074,-0.255025417927484
3,-0.24043434315182882,-0.25525337573188395
4,-0.24050759776462588,-0.25537717698461404
5,-0.24054289414480262,-0.25539830432250216
6,-0.24047656364836728,-0.2557205102635807
7,-0.240512758881135,-0.2555269846473438
8,-0.24046088765080886,-0.25574494682075843
9,-0.24043897838395448,-0.2557636150534054
10,-0.2404858252981855,-0.2558762847102942
11,-0.24046645512675294,-0.2558817505509147
12,-0.24047971811748556,-0.25600350359937635
13,-0.2404787832523254,-0.25583640318807893
14,-0.24050096207133861,-0.2559038141116682
15,-0.24048312680185485,-0.2559829561056697
