,val_loss,loss
0,-0.4081561749785171,-0.4375053851126161
1,-0.4084791299002856,-0.43803449190710697
2,-0.4086100235735796,-0.43818817634123364
3,-0.4084955673187031,-0.438282923561768
4,-0.40864709319536957,-0.43854201309755814
5,-0.40860921835504094,-0.4383978879104882
6,-0.4086103213429039,-0.43853209731811926
7,-0.4086840764912981,-0.43870164918138127
8,-0.4087213501728764,-0.4386909643683383
9,-0.4087926254565063,-0.4387491870798991
10,-0.4087436532894642,-0.4389381220058667
11,-0.40870644276712503,-0.43896723724708264
12,-0.40867328363823063,-0.4388801983181154
13,-0.40879208539148754,-0.43888655152654693
14,-0.4086335003376007,-0.43914828925625465
15,-0.4087171741147319,-0.43899458776609734
16,-0.4089653102821286,-0.4390379376058737
17,-0.4087978548617125,-0.4390916194975903
18,-0.40878195543594414,-0.4391689165234552
19,-0.408717024876669,-0.43930726837481404
20,-0.40878875190943254,-0.43934397287366794
21,-0.40882597401508286,-0.4390790145861843
22,-0.40863374546736364,-0.43931598515972353
23,-0.40888004578974235,-0.4392388926253645
24,-0.4089019281672575,-0.43941551892330005
25,-0.4087359043768466,-0.43948740317774904
26,-0.4086606554067714,-0.4393988144585612
